LineID,tempc,dia,cuicr,cyclic,insul,nomwt,meas,pof,pofact
100-PHL-352-BBA-01,15,100,0.11,0,1,6.02,4,2,1
300-PHL-001-CBD-16,100,300,0.49,0,2,9.52,0.8,5,5
350-PHL-002-CBD-16,100,350,0.11,0,2,9.52,7.53,1,4
250-PHL-003-CBD-16,100,250,0.13,0,2,9.27,7,1,3
250-PHL-004-CBD-16,100,250,0.16,0,2,9.27,6.5,1,4
200-PHL-006-CBD-16,100,200,0.36,0,2,8.18,1.78,5,5
250-PHL-008-CBD-16,107,250,0.3,0,2,9.27,3.77,5,5
200-PHL-010-CBD-16,107,200,0.33,0,2,8.18,2.18,5,5
100-PHL-091-BBD-16,129,100,0.08,0,2,6.02,4.52,1,1
150-PHV-448-BBD-16,60,150,0.29,0,2,7.11,1.31,5,5
250-PHL-017-CBD-01,49,250,0.19,0,2,9.27,5.9,2,4
50-PHL-353-BBD-01,15,50,0.26,0,2,3.91,0,5,1
250-PHL-017-CBD-01,49,250,0.56,0,2,9.27,0,5,4
200-PHL-061-BBD-16,105,200,0.47,0,2,9.52,0,5,5
100-PHL-1290-BBD-01,87,100,0.64,1,2,6.02,0,5,1
150-PHL-374-BBD-01,84,150,0.01,1,1,7.11,7,1,5
200-PHL-054-BBD-16,141,200,0.04,1,2,8.18,7.5,1,1
150-PHV-443-CBD-16,25,150,0.22,1,2,7.11,2.61,5,5
150-PHV-444-CBD-16,25,150,0.2,1,2,7.11,3.11,5,5
150-PHV-458-CBD-16,23,150,0.11,1,2,7.11,5.11,1,2
150-PHV-558-CBD-16,21,150,0.15,1,2,7.11,4.1,4,4
150-PHV-585-CBD-16,25,150,0.25,1,2,7.11,2.1,5,5
150-PHV-836-CBD-16,25,150,0.06,1,2,7.11,6,1,5
150-PHV-835-CBD-16,25,150,0.06,1,2,7.11,6,1,5
150-PHV-555-CBD-16,25,150,0.09,1,2,7.11,5.24,1,5
150-PHV-456-CBD-16,25,150,0.01,1,2,7.11,6.9,1,5
150-PHV-800-CBD-16,25,150,0.03,1,2,7.11,6.5,1,5
